2026-09-07 11:11:31 | INFO     | src.utils.docker_utils | Kaggle dataset not found -> generating synthetic demo dataset.
2026-09-07 11:11:32 | INFO     | src.data.loader | Loaded applications table: 25,000 rows x 22 cols
2026-09-07 11:11:32 | INFO     | src.utils.helpers | load_applications finished in 0.83s
2026-09-07 11:11:32 | INFO     | src.utils.helpers | load_full_dataset finished in 0.83s
2026-09-07 11:11:32 | INFO     | src.utils.helpers | clean_raw finished in 0.01s
2026-09-07 11:11:32 | INFO     | src.utils.helpers | engineer_features finished in 0.03s
2026-09-07 11:11:32 | INFO     | src.data.preprocessor | Feature matrix built: 25,000 rows x 26 features
2026-09-07 11:11:32 | INFO     | src.utils.helpers | build_features finished in 0.25s
2026-09-07 11:11:32 | INFO     | __main__ | Class balance -> negatives: 23010, positives: 1990, scale_pos_weight=11.56
2026-09-07 11:11:34 | INFO     | __main__ | Fold 1/5 -> ROC-AUC=0.8976 PR-AUC=0.4318
2026-09-07 11:11:37 | INFO     | __main__ | Fold 2/5 -> ROC-AUC=0.9060 PR-AUC=0.4752
2026-09-07 11:11:39 | INFO     | __main__ | Fold 3/5 -> ROC-AUC=0.9219 PR-AUC=0.5150
2026-09-07 11:11:43 | INFO     | __main__ | Fold 4/5 -> ROC-AUC=0.9124 PR-AUC=0.5032
2026-09-07 11:11:46 | INFO     | __main__ | Fold 5/5 -> ROC-AUC=0.9093 PR-AUC=0.4955
2026-09-07 11:11:47 | INFO     | __main__ | Overall OOF -> ROC-AUC=0.9093 PR-AUC=0.4831
2026-09-07 11:11:52 | INFO     | src.utils.helpers | clean_raw finished in 0.00s
2026-09-07 11:11:52 | INFO     | src.utils.helpers | engineer_features finished in 0.05s
2026-09-07 11:11:53 | INFO     | src.data.loader | Materialised 'applications' (25,000 rows) into C:\Users\Dell\Downloads\credit_risk_platform\credit_risk_platform\data\credit_risk.db
2026-09-07 11:11:53 | INFO     | __main__ | Training complete. Artifacts saved to /models
2026-09-07 11:11:54 | INFO     | src.utils.helpers | train finished in 22.63s
2026-09-07 11:12:29 | INFO     | src.utils.docker_utils | Real Home Credit dataset detected.
2026-09-07 11:12:29 | INFO     | src.utils.docker_utils | Real Home Credit dataset detected.
2026-09-07 11:12:29 | INFO     | src.data.loader | Loaded applications table: 25,000 rows x 22 cols
2026-09-07 11:12:29 | INFO     | src.utils.helpers | load_applications finished in 0.25s
2026-09-07 11:12:29 | INFO     | src.utils.helpers | load_full_dataset finished in 0.25s
2026-09-07 11:12:35 | INFO     | src.utils.docker_utils | Real Home Credit dataset detected.
2026-09-07 11:20:35 | INFO     | src.utils.docker_utils | Kaggle dataset not found -> generating synthetic demo dataset.
2026-09-07 11:20:37 | INFO     | src.data.loader | Loaded applications table: 25,000 rows x 22 cols
2026-09-07 11:20:37 | INFO     | src.utils.helpers | load_applications finished in 1.11s
2026-09-07 11:20:37 | INFO     | src.utils.helpers | load_full_dataset finished in 1.11s
2026-09-07 11:20:37 | INFO     | src.utils.helpers | clean_raw finished in 0.01s
2026-09-07 11:20:37 | INFO     | src.utils.helpers | engineer_features finished in 0.03s
2026-09-07 11:20:37 | INFO     | src.data.preprocessor | Feature matrix built: 25,000 rows x 26 features
2026-09-07 11:20:37 | INFO     | src.utils.helpers | build_features finished in 0.27s
2026-09-07 11:20:37 | INFO     | __main__ | Class balance -> negatives: 23010, positives: 1990, scale_pos_weight=11.56
2026-09-07 11:20:40 | INFO     | __main__ | Fold 1/5 -> ROC-AUC=0.8976 PR-AUC=0.4318
2026-09-07 11:20:42 | INFO     | __main__ | Fold 2/5 -> ROC-AUC=0.9060 PR-AUC=0.4752
2026-09-07 11:20:45 | INFO     | __main__ | Fold 3/5 -> ROC-AUC=0.9219 PR-AUC=0.5150
2026-09-07 11:20:48 | INFO     | __main__ | Fold 4/5 -> ROC-AUC=0.9124 PR-AUC=0.5032
2026-09-07 11:20:54 | INFO     | __main__ | Fold 5/5 -> ROC-AUC=0.9093 PR-AUC=0.4955
2026-09-07 11:20:54 | INFO     | __main__ | Overall OOF -> ROC-AUC=0.9093 PR-AUC=0.4831
2026-09-07 11:21:07 | INFO     | src.utils.helpers | clean_raw finished in 0.00s
2026-09-07 11:21:07 | INFO     | src.utils.helpers | engineer_features finished in 0.08s
2026-09-07 11:21:08 | INFO     | src.data.loader | Materialised 'applications' (25,000 rows) into C:\Users\Dell\Downloads\credit_risk_platform\credit_risk_platform\data\credit_risk.db
2026-09-07 11:21:08 | INFO     | __main__ | Training complete. Artifacts saved to /models
2026-09-07 11:21:08 | INFO     | src.utils.helpers | train finished in 32.39s
2026-09-07 11:26:19 | INFO     | src.data.loader | Loaded applications table: 307,511 rows x 122 cols
2026-09-07 11:26:19 | INFO     | src.utils.helpers | load_applications finished in 5.44s
2026-09-07 11:26:19 | INFO     | src.utils.helpers | load_full_dataset finished in 5.44s
2026-09-07 11:26:20 | INFO     | src.utils.helpers | clean_raw finished in 0.30s
2026-09-07 11:26:21 | INFO     | src.utils.helpers | engineer_features finished in 1.00s
2026-09-07 11:26:23 | INFO     | src.data.preprocessor | Feature matrix built: 307,511 rows x 26 features
2026-09-07 11:26:23 | INFO     | src.utils.helpers | build_features finished in 3.92s
2026-09-07 11:26:23 | INFO     | __main__ | Class balance -> negatives: 282686, positives: 24825, scale_pos_weight=11.39
2026-09-07 11:26:37 | INFO     | __main__ | Fold 1/5 -> ROC-AUC=0.7617 PR-AUC=0.2456
2026-09-07 11:26:50 | INFO     | __main__ | Fold 2/5 -> ROC-AUC=0.7704 PR-AUC=0.2565
2026-09-07 11:27:06 | INFO     | __main__ | Fold 3/5 -> ROC-AUC=0.7620 PR-AUC=0.2427
2026-09-07 11:27:19 | INFO     | __main__ | Fold 4/5 -> ROC-AUC=0.7671 PR-AUC=0.2544
2026-09-07 11:27:34 | INFO     | __main__ | Fold 5/5 -> ROC-AUC=0.7600 PR-AUC=0.2428
2026-09-07 11:27:35 | INFO     | __main__ | Overall OOF -> ROC-AUC=0.7642 PR-AUC=0.2479
2026-09-07 11:28:21 | INFO     | src.utils.helpers | clean_raw finished in 0.19s
2026-09-07 11:28:23 | INFO     | src.utils.helpers | engineer_features finished in 1.38s
2026-09-07 11:28:42 | INFO     | src.data.loader | Materialised 'applications' (307,511 rows) into C:\Users\Dell\Downloads\credit_risk_platform\credit_risk_platform\data\credit_risk.db
2026-09-07 11:28:42 | INFO     | __main__ | Training complete. Artifacts saved to /models
2026-09-07 11:28:42 | INFO     | src.utils.helpers | train finished in 148.48s
2026-09-07 11:30:22 | INFO     | src.utils.docker_utils | Real Home Credit dataset detected.
2026-09-07 11:30:31 | INFO     | src.data.loader | Loaded applications table: 307,511 rows x 122 cols
2026-09-07 11:30:31 | INFO     | src.utils.helpers | load_applications finished in 8.97s
2026-09-07 11:30:31 | INFO     | src.utils.helpers | load_full_dataset finished in 8.97s
2026-09-07 11:30:42 | INFO     | src.utils.docker_utils | Real Home Credit dataset detected.
2026-09-07 11:30:50 | INFO     | src.utils.docker_utils | Real Home Credit dataset detected.
2026-09-07 11:31:05 | INFO     | src.utils.docker_utils | Real Home Credit dataset detected.
2026-09-07 11:31:22 | INFO     | src.utils.docker_utils | Real Home Credit dataset detected.
